region,year,salary_uah
Івано-Франківська,2021,11988.0
Волинська,2021,11445.0
Вінницька,2021,12488.0
Дніпропетровська,2021,13669.0
Донецька,2021,14853.0
Житомирська,2021,11625.0
Закарпатська,2021,12235.0
Запорізька,2021,13782.0
Київ,2021,20558.0
Київська,2021,14290.0
Кіровоградська,2021,11180.0
Луганська,2021,12176.0
Львівська,2021,12530.0
Миколаївська,2021,13807.0
Одеська,2021,12326.0
Полтавська,2021,12988.0
Рівненська,2021,12762.0
Сумська,2021,11844.0
Тернопільська,2021,11595.0
Харківська,2021,12051.0
Херсонська,2021,11398.0
Хмельницька,2021,12326.0
Черкаська,2021,11965.0
Чернівецька,2021,11183.0
Чернігівська,2021,11363.0
Івано-Франківська,2024,17069.0
Волинська,2024,17718.0
Вінницька,2024,18224.0
Дніпропетровська,2024,22233.0
Донецька,2024,21801.0
Житомирська,2024,17108.0
Закарпатська,2024,18705.0
Запорізька,2024,19257.0
Київ,2024,32799.0
Київська,2024,21597.0
Кіровоградська,2024,16325.0
Луганська,2024,25502.0
Львівська,2024,19410.0
Миколаївська,2024,19398.0
Одеська,2024,18025.0
Полтавська,2024,19054.0
Рівненська,2024,18656.0
Сумська,2024,17314.0
Тернопільська,2024,16630.0
Харківська,2024,18446.0
Херсонська,2024,17701.0
Хмельницька,2024,17822.0
Черкаська,2024,17816.0
Чернівецька,2024,16411.0
Чернігівська,2024,16671.0
